ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,Utilization activity,Metabolite (production)
322,,"DSM 23807, CCUG 47057, LMG 6003, CIP 108202, API 201-3-84, Gilardi 3038",1,1,Achromobacter insolitus,+,hydrogen sulfide
,,,,,,,indole
136698,"LiPuma AU15210, Vandamme R-47438","CIP 110710, LMG 26845, CCUG 62426, DSM 115984",1,1,Achromobacter insuavis,+,indole
140507,,"CCUG 62449, LMG 3441",1,1,Achromobacter kerstersii,+,hydrogen sulfide
,,,,,,,indole
130143,"AU 13054, R-46658","DSM 29602, LMG 26685, CCUG 61961, CIP 110844",1,1,Achromobacter mucicolens,+,indole
140508,,"LMG 3431, CCUG 61959, ATCC 15445",1,1,Achromobacter pestifer,+,hydrogen sulfide
,,,,,,,indole
320,366-5,"DSM 10342, ATCC 43552, CIP 60.75, IAM 12591, LMG 1873, JCM 20668, CGMCC 1.10399, NBRC 102461, NCTC 11970, CCUG 724, NBIMCC 557, Hugh 366-5",1,1,Achromobacter piechaudii,+,indole
130144,"E38/27-S, R-16442","DSM 29617, CCUG 61972, LMG 26696, CIP 110842",1,1,Achromobacter pulmonis,+,indole
309,,"DSM 653, ATCC 15749, CCUG 38886, LMG 1866, JCM 20676, CGMCC 1.10394, CIP 77.26, IAM 12600, IAM 12693, IAM 12694, JCM 20751, JCM 20752, NCIMB 11475, VKM B-1333, CCM 7494",1,1,Achromobacter ruhlandii,+,indole
323,,"CIP 108199, DSM 23806, CCUG 47062, LMG 5911, API 198-2-84",1,1,Achromobacter spanius,+,hydrogen sulfide
,,,,,,,indole
168915,,"LMG 30378, CCUG 71558",1,1,Achromobacter veterisilvae,+,indole
297,KM543,"DSM 2402, ATCC 27061, DSM 10346, NRRL 84082, CCUG 56438, CIP 71.32, NCTC 10807, LMG 1863, CCM 2741, IFO 15126, NCIMB 12033, JCM 9659, CCUG 12689, CECT 467, CECT 927, IAM 12684, NBRC 15126, NRRL B-4082, NCIB 12033",1,1,Achromobacter xylosoxidans subsp. xylosoxidans,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
,,,,,,,nitrite
99,,"DSM 21505, CCUG 50930, CIP 108586, KCTC 15229, ADV 255.99, AIP 283.01",1,1,Acidaminococcus intestini,+,acetate
,,,,,,,butyrate
,,,,,,,indole
,,,,,,,propionate
133054,,"DSM 29819, NCCB 100576, MCF 10",1,1,Acidicapsa acidiphila,+,indole
133383,SK-11,"DSM 100508, NBRC 111227",1,1,Acidicapsa acidisoli,+,hydrogen sulfide
,,,,,,,indole
142,KA1,"DSM 23886, LMG 25897, VKM B-2678",1,1,Acidicapsa borealis,+,indole
159709,4GSKX,"CGMCC 1.15449, LMG 29213",1,1,Acidicapsa dinghuensis,+,indole
133053,,"DSM 28997, NCCB 100575, MCF 9",1,1,Acidicapsa ferrireducens,+,indole
143,WH120,"DSM 25248, LMG 26244, NCCB 100371, VKM B-2677",1,1,Acidicapsa ligni,+,indole
166169,MS2-2,"MCCC 1K02682, NBRC 112978",1,1,Acidimangrovimonas sediminis,+,hydrogen sulfide
132249,AP8,"DSM 103428, KCTC 23427, NBRC 107607",1,1,Acidipila rosea,+,indole
12633,"14X, 0179","DSM 4900, ATCC 25562, VPI 0399, CIP 103025, NCIMB 11858",1,1,Acidipropionibacterium acidipropionici,+,indole
130545,IGBL13,"DSM 25450, CECT 8062",1,1,Acidipropionibacterium damnosum,+,indole
12651,29,"CCUG 48883, CIP 103028, NCIMB 8071, DSM 20535, ATCC 4868, NCDO 850, NCIB 8071",1,1,Acidipropionibacterium jensenii,+,indole
12656,M5,"DSM 13435, CIP 109962, CNCM I-2360",1,1,Acidipropionibacterium microaerophilum,+,indole
12654,15,"DSM 20276, ATCC 4874, CCM 1865, CCUG 28149, HAMBI 247, JCM 6437, LMG 16455, NCDO 568, NCIB 5966, CGMCC 1.2228, CIP 103029, LMG 16731, NCIMB 5966, VPI 0412, VTT E-79095",1,1,Acidipropionibacterium thoenii,+,acetoin
,,,,,,,indole
82,TPB606,"DSM 21000, VKM B-2487",1,1,Acidisoma sibiricum,+,bacteriochlorophyll alpha
,,,,,,,beta-hydroxybutyrate
81,WM1,"DSM 19999, VKM B-2488",1,1,Acidisoma tundrae,+,bacteriochlorophyll alpha
,,,,,,,beta-hydroxybutyrate
67,HS-AP3,"DSM 16009, JCM 10600",1,1,Acidisphaera rubrifaciens,+,bacteriochlorophyll a
,,,,,,,carotenoid
133033,PMMR2,"DSM 27394, LMG 28340",1,1,Acidobacterium ailaaui,+,indole
131,161,"DSM 11244, ATCC 51196, JCM 7670, NCIMB 13165, BCRC 80197, IFO 15755, NBRC 15755",1,1,Acidobacterium capsulatum,+,indole
2900,P1G31,"DSM 16745, CFBP 3232, CCUG 64016, CIP 107058",1,1,Acidovorax anthurii,+,indole
2891,,"DSM 7227, ATCC 19860, ICMP 3183, ICPB PA117, NCPPB 1011, CCUG 15838, LMG 2117, CIP 106500, JCM 20985, CFBP 2425, IAM 13658",1,1,Acidovorax avenae,+,indole
2902,,"DSM 17101, ATCC 33619, CFBP 2423, ICMP 2826, ICPB PC21, LMG 2364, NCPPB 961, NRRL B835, CCUG 21975, NRRL B-835, CIP 106435, LMG 5286",1,1,Acidovorax cattleyae,+,indole
2901,,"CCUG 17393, CIP 106436, DSM 17060, ATCC 29625, CCUG 1739, ICMP 7500, LMG 5376",1,1,Acidovorax citrulli,+,indole
2898,,"DSM 12644, CIP 106824, CCUG 49021, BSB 411",1,1,Acidovorax defluvii,+,indole
2885,"133, FD-6","CCUG 1779, LMG 5943, DSM 64, ATCC 17505, DSM 50263, DSM 50403, CIP 103303, NCIMB 11476",1,1,Acidovorax delafieldii,+,indole
2888,,"DSM 649, ATCC 11228, CCUG 2113, LMG 6221, LMG 2193, CCM 4561, CIP 103302, NCIMB 9938",1,1,Acidovorax facilis,+,indole
158808,KNDSW-TSA6,"MTCC 12652, KCTC 52819, VTCC B-910010",1,1,Acidovorax kalamii,+,acetoin
,,,,,,,indole
2893,K2,"DSM 7481, ATCC 33996, CCUG 17394, ICMP 7733, LMG 5691, JCM 2397, CIP 106439, CFBP 4460, NCPPB 3698",1,1,Acidovorax konjaci,+,indole
2905,N35,"DSM 23535, LMG 25767",1,1,Acidovorax radicis,+,siderophore
2892,,"DSM 7270, ATCC 49665, CCUG 11779, LMG 7169, CIP 103457, CCM 4562",1,1,Acidovorax temperans,+,indole
2899,,"DSM 16619, CFBP 4730, NCPPB 4283, CIP 107997",1,1,Acidovorax valerianellae,+,indole
23868,NF 1078,"DSM 27981, CCUG 62584, LMG 26971",1,1,Acidovorax wautersii,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
8093,"2208, 81","DSM 30007, ATCC 19606, CIP 70.34, DSM 6974, JCM 6841, CCUG 19096, CGMCC 1.6769, IAM 12088, KCTC 2508, LMG 1041, LMG 10545, NBRC 109757, NCIMB 12457, NCTC 12156",1,1,Acinetobacter baumannii,+,indole
8126,B2,"DSM 14961, CIP 107474, CCUG 50765, CCM 7195",1,1,Acinetobacter baylyi,+,indole
8141,58a,"DSM 22901, CCM 7266, CCUG 51249, JCM 18990, NIPH 838, LUH 4759, CIP 110307, GTC 14628, LMG 25324, NBRC 112579",1,1,Acinetobacter beijerinckii,+,indole
8145,69,"DSM 25435, ATCC 17924, CIP 70.12, LMG 1003, NIPH 521, CCUG 26493, ATCC 13702, NCIMB 9019",1,1,Acinetobacter bereziniae,+,indole
132192,,"DSM 102855, CCM 8462, CCUG 63842, CIP 110496, ANC 3994",1,1,Acinetobacter bohemicus,+,indole
130449,SAP284.1,"DSM 29976, CECT 8128, LMG 26959, CCUG 68432, CIP 110548, SAP 284.1",1,1,Acinetobacter boissieri,+,indole
8131,"4BO2, 4B02","CCUG 50766, DSM 14964, CIP 107468, JCM 18991, CCM 7196, GTC 3697, KCTC 12414, NBRC 112580",1,1,Acinetobacter bouvetii,+,indole
8057,,"DSM 30006, ATCC 23055, CIP 81.08, CIP 81.8, LMD 22.16, CCUG 12804, LMG 1046, IFO 13718, Delft L360, JCM 6842, CECT 441, IAM 12087, KCTC 2357, LMG 10511, NBIMCC 3730, NBRC 13718, NCCB 22016, NCIMB 10694, NCTC 12983, VTT E-981117, LMD 98116",1,1,Acinetobacter calcoaceticus,+,acetoin
,,,,,,,dinitrogen
,,,,,,,hydrogen sulfide
,,,,,,,indole
,,,,,,,nitrite
140537,,"CCM 8641, CIP 110478, CCUG 67966, CNCTC 7573, DSM 107593, NIPH 2036",1,1,Acinetobacter colistiniresistens,+,indole
140606,WCHA30,"KCTC 52503, GDMCC 1.1101, CCTCC AB 2016203, DSM 107594",1,1,Acinetobacter defluvii,+,indole
130452,UG 60467,"CCUG 68482, DSM 28097, ANC 4275, LMG 27960",1,1,Acinetobacter gandensis,+,indole
8132,"9AO1, 9A01","DSM 14967, CIP 107464, CCM 7197",1,1,Acinetobacter gerneri,+,indole
8097,O1,"DSM 590, ATCC 11171, CCUG 2491, CIP 63.46, LMG 988, NCIB 8250, NCIMB 8250",1,1,Acinetobacter guillouiae,+,indole
8142,1271,"DSM 22705, CCM 7267, CCUG 51248, NIPH 2150, RUH 422, CIP 110306",1,1,Acinetobacter gyllenbergii,+,indole
8092,2446/60,"DSM 6962, ATCC 17906, CIP 64.3, NCTC 10305, CCUG 888, KCTC 12404, CCM 2358, LMG 996, NCIMB 12458",1,1,Acinetobacter haemolyticus,+,indole
130451,CGMCC1.12528,"DSM 100418, CGMCC 1.12528, HITLi 7, KCTC 32411, CCUG 69700, CIP 110764",1,1,Acinetobacter harbinensis,+,indole
8148,A648,"DSM 25388, CCM 7832, CIP 110367, MTCC 10660, CCUG 69702, ANC 4215",1,1,Acinetobacter indicus,+,indole
8088,3865/60,"DSM 6963, ATCC 17909, CIP 64.6, NCTC 10308, CCUG 19095, NCTC 12154, LMG 999, NCIMB 12460",1,1,Acinetobacter johnsonii,+,indole
8086,64.5,"DSM 6964, ATCC 17908, NCTC 10307, CCUG 889, KCTC 12406, CIP 64.5, CCM 2376, LMG 998, NCIMB 12459",1,1,Acinetobacter junii,+,indole
24224,11-0202,"DSM 29071, JCM 18512, KCTC 32033, CCUG 69703, CIP 110699",1,1,Acinetobacter kookii,+,indole
134915,KSL5401-037,"CIP 110605, JCM 17071, KEMC 5401-037, CCUG 69704",1,1,Acinetobacter kyonggiensis,+,indole
133403,BRTC-1,"ACCC 19936, JCM 31367",1,1,Acinetobacter larvae,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
157184,,CCUG 70277,1,1,Acinetobacter libanensis,+,indole
8058,,"DSM 2403, ATCC 15309, CIP 644.10, JCM 6840, NCTC 5866, ATCC 17986, CCM 5581, CCUG 12805, CCUG 33984, CECT 453, CIP 64.10, LMG 1029, LMG 1240, NBRC 109760, NCIMB 12456, CIP 110687, KCTC 12407, NCIB 12456",1,1,Acinetobacter lwoffii,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
,,,,,,,nitrite
130450,,"CCUG 68431, CIP 110549, DSM 29975, CECT 8127, LMG 26958, SAP 763.2",1,1,Acinetobacter nectaris,+,indole
132120,,"DSM 102856, CCM 7791, CNCTC 7433, LMG 10619, NIPH 2119, CCUG 61663, RUH 2376, CIP 110470",1,1,Acinetobacter nosocomialis,+,indole
8139,,"DSM 16617, CCM 7030, CCUG 48866, LMG 21765, NIPH 384, LUH 4616, CIP 108168",1,1,Acinetobacter parvus,+,indole
158638,LW15,"MCCC 1K03337, CICC 24241, KCTC 62134, JCM 32101",1,1,Acinetobacter piscicola,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
8146,,"CCUG 61664, NCDC KC739, DSM 25618, ATCC 19004, CIP 70.29, LMG 1035, NIPH 519, RUH 2206",1,1,Acinetobacter pittii,+,indole
164465,S23,"JCM 33150, KACC 19921",1,1,Acinetobacter pullicarnis,+,indole
132918,BQ4-1,"DSM 105039, CFCC 10780, JCM 18011, CCUG 69709, CIP 110585",1,1,Acinetobacter puyangensis,+,indole
132921,2BJ1,"DSM 104971, CFCC 10890, KCTC 32225, CIP 110715",1,1,Acinetobacter qingfengensis,+,indole
157139,,CCUG 69710,1,1,Acinetobacter qingfengensis,+,indole
8147,G30,"DSM 24031, CCUG 57889, CECT 7818, LMG 26107, CIP 110305",1,1,Acinetobacter rudis,+,indole
8134,,"DSM 16038, CNCTC 6736, LMG 19576, NIPH 1034, CCUG 45560, KCTC 12409, CIP 107287, LUH 5832",1,1,Acinetobacter schindleri,+,indole
132199,Gerner-Smidt 10090,"DSM 102854, CCM 8535, CCUG 34785, CIP 110471, NIPH 973, NIPH 973 (<Gerner-Smidt 10090)",1,1,Acinetobacter seifertii,+,indole
23129,AK001,"DSM 19415, CIP 110587, CCUG 56015, CIP 110473, ANC 3649",1,1,Acinetobacter septicus,+,indole
8143,"B1, CR11, IBFC2009","DSM 22956, JCM 15062, KCTC 22184, CCUG 59023, KCTC 22814, CIP 110264, CCTCC AB 209162",1,1,Acinetobacter soli,+,indole
8133,4N13,"DSM 14970, CIP 107469, CCM 7199",1,1,Acinetobacter tandoii,+,indole
8130,7N16,"DSM 14971, CIP 107465, CCUG 50768, CCM 7200",1,1,Acinetobacter tjernbergiae,+,indole
8135,,"CCUG 45559, ATCC BAA-617, KCTC 12410, CCM 7024, CIP 107286, DSM 16037, CNCTC 6735, LMG 19575, NIPH 137, LUH 3792",1,1,Acinetobacter ursingii,+,indole
132198,strain Tjernberg & Ursing 151a,"DSM 102977, CCM 8555, CCUG 26390, CIP 110486, NIPH 2171",1,1,Acinetobacter variabilis,+,indole
8144,"RAG-1, Vaneechoutte ACI 403","KCTC 2702, BCRC 14357, DSM 23050, ATCC 31012, CCUG 45561, LMG 19082, LUH 3904, NIPH 1925, CIP 110063",1,1,Acinetobacter venetianus,+,indole
16504,E 90,"DSM 43316, ATCC 29331, IFO 13972, NBRC 13972, NCIB 11120, JCM 3181, BCRC 12360, BCRC 16357, IMSNU 20325, KCTC 9431, NCIMB 11120",1,1,Acrocarpospora corrugata,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
24522,R46,"DSM 28448, CECT 7668, KCTC 23349",1,1,Actibacterium mucosum,+,indole
132960,NS6,"DSM 105040, JCM 30828, KCTC 18418",1,1,Actibacterium naphthalenivorans,+,indole
141146,JN33,"CGMCC 1.16012, KCTC 52653, DSM 109121",1,1,Actibacterium pelagium,+,indole
17006,"FYU A 116, A-116","DSM 43459, ATCC 27298, BCRC 13386, CBS 261.72, CIP 105479, IFO 14099, IMET 9752, JCM 3146, KCC A-0146, KCTC 9252, NBRC 14099, NCIB 11118, NRRL B-16128, IMSNU 20015, MTCC 2556, NCIMB 11118, CCRC 13386, BRCC 13386",1,1,Actinoallomurus spadix,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
13192,"Y388=As 4.1159, Y-388","DSM 43889, IFO 14455, IMET 43868, JCM 6095, NBRC 14455, NRRL B-16252, CGMCC 4.1159, CIP 106755, KCCM 12121, VKM Ac-1271, AS 4.1159",1,1,Actinoalloteichus caeruleus,+,indole
130583,AH97,"DSM 45943, CECT 8639",1,1,Actinoalloteichus hoggarensis,+,indole
11691,F66,"DSM 26423, CCM 7846, CCUG 60324",1,1,Actinobacillus anseriformium,+,indole
11688,P. 907,"DSM 22258, ATCC 13376, CCUG 24862, CIP 107664, MCCM 00398, CCM 5500, Wetmore 1706, HIM 1034-2",1,1,Actinobacillus arthritidis,+,indole
11676,"11-61, P243","DSM 19761, ATCC 51571, CCUG 12396, CIP 103283, NCTC 11408",1,1,Actinobacillus capsulatus,+,indole
11671,M906/93,"CCUG 41362, CIP 106129, NCIMB 13567, DSM 11374, NCTC 12870",1,1,Actinobacillus delphinicola,+,indole
11689,PM 30/53,"ATCC 19392, MCCM 00142, DSM 19655, CCUG 2041, CIP 103284, JCM 2432, NCTC 8529, LMG 3736",1,1,Actinobacillus equuli subsp. equuli,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
11690,"F 154, 8-11272","DSM 22436, CCUG 19799, NCTC 13195, CIP 107709",1,1,Actinobacillus equuli subsp. haemolyticus,+,indole
11677,"12, P 578, P578","DSM 22262, ATCC 49457, CCUG 19800, CIP 102631, NCTC 11529",1,1,Actinobacillus hominis,+,indole
11685,46KC2,"DSM 22264, CCUG 39029, CIP 105316",1,1,Actinobacillus indolicus,+,indole
11679,,"CIP 107665, DSM 22256, ATCC 49236, CCUG 41384, CIP 53.130, NCTC 4189",1,1,Actinobacillus lignieresii,+,indole
138198,"NM305, NM 305","CIP 105314, CCUG 38923, DSM 113419",1,1,Actinobacillus minor,+,indole
11672,4074,"DSM 13472, ATCC 27088, CCM 5869, Shope 4074, CIP 100916, CCUG 41656",1,1,Actinobacillus pleuropneumoniae,+,indole
11684,"NM319, NM 319","DSM 22435, CCUG 38924, CIP 105315",1,1,Actinobacillus porcinus,+,indole
173546,192,"CIP 102634, ATCC 27072, CCM 5946, NCTC 10801",1,1,Actinobacillus rossii,+,indole
11686,M2000/95/1,"DSM 22205, CCUG 46379, CIP 105697, NCTC 12922",1,1,Actinobacillus scotiae,+,indole
11683,"5, A51 and A65, K3844/C","DSM 22263, ATCC 15768, CCUG 27187, CIP 102633, NCTC 10851, Simmons K3844-C",1,1,Actinobacillus seminis,+,indole
11687,130Z,"DSM 22257, ATCC 55618, CCUG 43843, CIP 106512",1,1,Actinobacillus succinogenes,+,indole
11682,1276/61,"DSM 22433, ATCC 33415, CCM 5586, CCUG 11624, CIP 103354, NCTC 12996",1,1,Actinobacillus suis,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
11670,3520/59,"DSM 5568, ATCC 25976, NCTC 10219, CCUG 2139, CIP 62.8, CCM 5774",1,1,Actinobacillus ureae,+,indole
166219,W1618,"LMG 30745, NCTC 14090",1,1,Actinobacillus vicugnae,+,hydrogen sulfide
,,,,,,,indole
132079,"FC1, FC3","DSM 100580, CSUR P1982",1,1,Actinobaculum massiliense,+,indole
144,,"DSM 20639, ATCC 33144, CCUG 19206, CIP 105361, LMG 18291, Soltys 50052",1,1,Actinobaculum suis,+,indole
135256,101342,CIP 107936,1,1,Actinobaculum timonae,+,indole
7795,TT2-10,"DSM 44816, JCM 12343, PCU 235, BCRC 16831, CGMCC 4.5560, CIP 109347, NBRC 105041, NCIMB 14320",1,1,Actinocatenispora thailandica,+,indole
16906,,"DSM 43924, IMET 9577, INA 1933, JCM 8201, IFO 15554, IFO 16147, IMSNU 22193, KCTC 9554, NBRC 15554, NBRC 16147",1,1,Actinocorallia aurantiaca,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
16912,I-226,"DSM 44360, IFO 15960, JCM 9376, NBRC 15960, IMSNU 22179",1,1,Actinocorallia glomerata,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
132532,3H-GS17,"DSM 100595, CGMCC 4.7282, JCM 31763",1,1,Actinocorallia lasiicapitis,+,hydrogen sulfide
16908,828-21,"DSM 43554, ATCC 35576, CCM 3425, IFO 14095, IMET 9616, JCM 10696, JCM 3284, KCC A-0284, NBRC 14095, NCIB 11686, NRRL B-16097, BCRC 13400, IMSNU 20007, KCTC 9340, MTCC 2557, NCIMB 11686, PCM 2200, VKM Ac-939",1,1,Actinocorallia libanotica,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
16913,I-497,"DSM 44361, CIP 105488, IFO 15961, JCM 9377, NBRC 15961, IMSNU 22180, NCIMB 14385",1,1,Actinocorallia longicatena,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
159707,A251,"CGMCC 4.7421, JCM 32178",1,1,Actinocorallia populi,+,hydrogen sulfide
,,,,,,,melanin
140670,R434,"KEMB 9005-403, KACC 18904, JCM 31557",1,1,Actinokineospora acnipugnans,+,acetoin
,,,,,,,hydrogen sulfide
13206,YU 961-1,"DSM 44650, IFO 16518, NBRC 16518, JCM 11646, CIP 107896",1,1,Actinokineospora auranticolor,+,indole
13208,ID 03-0784,"DSM 45658, BTCC B555, NBRC 104212",1,1,Actinokineospora cibodasensis,+,indole
13199,,"DSM 44255, IFO 15665, JCM 9921, KCTC 9569, MTCC 2687, NBRC 15665, IMSNU 22098, NCIMB 13657, NRRL B-24047, VKM Ac-1984",1,1,Actinokineospora diospyrosa,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
13205,YU 924-101,"DSM 44649, IFO 16517, NBRC 16517, JCM 11647, CIP 107895",1,1,Actinokineospora enzanensis,+,acetoin
,,,,,,,dinitrogen
,,,,,,,hydrogen sulfide
,,,,,,,indole
,,,,,,,nitrite
13200,,"DSM 44256, IFO 15664, JCM 9922, KCTC 9570, MTCC 2686, NBRC 15664, NCIMB 13658, NRRL B-24048, VKM Ac-1981",1,1,Actinokineospora globicatena,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
13202,,"DSM 44258, IFO 15663, JCM 9923, KCTC 9571, MTCC 2685, NBRC 15663, NCIMB 13659, NRRL B-24050, VKM Ac-1982",1,1,Actinokineospora inagensis,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
130584,,"DSM 45961, CECT 8578, PAL 84",1,1,Actinokineospora spheciospongiae,+,indole
13203,,"DSM 44259, ATCC 49499, CCRC 13450, IFO 14541, JCM 7471, MTCC 2712, NBRC 14541, NCIMB 13255, NRRL B-16432, BCRC 13450, IMSNU 21272, KACC 20059, KCCM 40232, KCTC 9291, VKM Ac-1980",1,1,Actinokineospora riparia,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
13204,,"DSM 44260, IFO 15668, JCM 9924, KCTC 9572, MTCC 2688, NBRC 15668, IMSNU 22094, NCIMB 13660, NRRL B-24049, VKM Ac-1983",1,1,Actinokineospora terrae,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
16995,,"DSM 45045, CCTCC AA 206005, CIP 109812, JCM 14906, NBRC 103884, YIM 45681",1,1,Actinomadura alba,+,indole
16924,SF2197,"DSM 43919, IFO 14695, JCM 6250, NBRC 14695, CGMCC 4.2100, CIP 107393, HUT 6547, IMSNU 22157, IMSNU 22161, KCTC 9620, MTCC 2560, NCIMB 12618",1,1,Actinomadura atramentaria,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
158373,,"DSM 108647, NBRC 113074, TBRC 7225, GKU 128",1,1,Actinomadura barringtoniae,+,sulfide
16988,3.24,"DSM 44772, AS 4.1522, IFO 16341, NBRC 16341, JCM 10667, CGMCC 4.1522, CIP 107903",1,1,Actinomadura catellatispora,+,indole
16925,,"DSM 43461, ATCC 27887, IMET 9573, INA 1849, JCM 3295, BCRC 13352, CGMCC 4.1514, IFO 14678, IMSNU 20001, KCTC 9617, MTCC 1828, NBRC 14678, NRRL B-16121, VKM Ac-1119",1,1,Actinomadura citrea,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
16926,,"DSM 43675, ATCC 33576, INA 765, JCM 3320, CGMCC 4.1515, IFO 14679, IMET 9580, IMSNU 20002, KCTC 9337, NBRC 14679, VKM Ac-1511",1,1,Actinomadura coerulea,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
158480,LHW63021,"DSM 106125, CCTCC AA 2018015",1,1,Actinomadura craniellae,+,hydrogen sulfide
,,,,,,,melanin
