ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,Enzyme activity,Enzyme
2,L 40,"DSM 3508, ATCC 15973, NCIB 8621, CCUG 18122, LMG 1261-t1, LMG 1261 1, CCTM 3043, NBRC 14818, JCM 7641, BCRC 11688, CCM 3620, CECT 298, CGMCC 1.1809, CIP 103111, ICMP 8807, IFO 14818, LMD 23.1, LMG 1261, LMG 1504, NCCB 23001, NCIMB 8621, VTT E-042567, VTT E-97828",1,1,Acetobacter aceti,+,acid phosphatase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,trypsin
,,,,,,+,urease
12,,"DSM 14362, ATCC 23765, LMG 1625, NCIMB 8894, JCM 17273, CIP 107722, VTT E-042461",1,1,Acetobacter cerevisiae,+,acid phosphatase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,valine arylamidase
15,4H-1,"DSM 15549, IFO 16605, JCM 11196, NBRC 16605, NRIC 0482, CIP 107380",1,1,Acetobacter cibinongensis,+,acid phosphatase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,gamma-glutamyltransferase
,,,,,,+,leucine arylamidase
23,"985, R-36330","DSM 19596, LMG 24244",1,1,Acetobacter fabarum,+,catalase
13,,"DSM 14337, CIP 108768, LMG 1746, JCM 17274, ATCC 14337, BCRC 17641, VTT E-042462",1,1,Acetobacter malorum,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,valine arylamidase
132413,Bo7,"DSM 23824, CECT 7722",1,1,Acetobacter musti,+,catalase
20,RG1,"DSM 23921, LMG 23498, MTCC 6912, JCM 33644, BCC 33377, BCRC 80095, NBRC 105050, NRIC 0976, TBRC 15",1,1,Acetobacter nitrogenifigens,+,catalase
19,B13,"DSM 23926, CECT 5830, LMG 21952, CIP 109171",1,1,Acetobacter oeni,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
16,21F-2,"DSM 15550, IFO 16606, NBRC 16606, NRIC 0481, JCM 11195, CIP 107379",1,1,Acetobacter orientalis,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,leucine arylamidase
4,190,"DSM 3509, ATCC 33445, LMD 22.1, JCM 7640, BCRC 14145, CCM 2374, CCUG 18125, CGMCC 1.1810, CIP 103108, ICMP 8808, LMG 1262, NBRC 106471, NCCB 22001, NCIMB 12228, VTT E-97830, IMET 10733",1,1,Acetobacter pasteurianus,+,catalase
11,,"DSM 11825, LTH 2458, CIP 105762",1,1,Acetobacter pomorum,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,naphthol-AS-BI-phosphohydrolase
21,CWBI-B418,"DSM 18889, LMG 23690",1,1,Acetobacter senegalensis,+,catalase
,,,,,,+,cytochrome oxidase
14,9H-2,"DSM 15548, IFO 16604, JCM 11197, NBRC 16604, NRIC 0483, CIP 107378",1,1,Acetobacter syzygii,+,acid phosphatase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
156528,"LiPuma AU4014, Vandamme R-31134","CCUG 62438, LMG 26852, CIP 110713, DSM 115985",1,1,Achromobacter aegrifaciens,+,cytochrome oxidase
140509,,"LMG 3411, CCUG 62454",1,1,Achromobacter agilis,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,leucine arylamidase
133323,AVA-1,"LMG 29108, NBRC 111463, PCU 352, TISTR 2383",1,1,Achromobacter aloeverae,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase Lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,lipase (C 14)
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,trypsin
130142,"AU15230, AU 15230, R-46662","DSM 29601, CCUG 61966, LMG 26690, CIP 110841",1,1,Achromobacter animicus,+,catalase
,,,,,,+,cytochrome-c oxidase
140506,,"LMG 3458, CCUG 62433",1,1,Achromobacter deleyi,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,leucine arylamidase
,,,,,,+,phosphoamidase
318,"12, 55B","DSM 30026, ATCC 15173, NCTC 8582, CCUG 407, LMG 1231, CIP 77.15, JCM 5490, LMG 3510, CECT 449, BCRC 12838, BCRC 14342, CCM 3427, CGMCC 1.1800, IAM 12370, IFO 15125, JCM 9657, NBRC 15125, NCIMB 11961, VTT E-991293, NCIB 11961",1,1,Achromobacter denitrificans,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,beta-galactosidase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,L-aspartate arylamidase
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
134918,"Vandamme R-47430, LiPuma AU4012, AU4012, R-47430","CIP 110711, LMG 26840, CCUG 62421, DSM 115983",1,1,Achromobacter dolens,+,cytochrome oxidase
322,,"DSM 23807, CCUG 47057, LMG 6003, CIP 108202, API 201-3-84, Gilardi 3038",1,1,Achromobacter insolitus,+,acid phosphatase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,gamma-glutamyltransferase
,,,,,,+,leucine arylamidase
,,,,,,+,lysine decarboxylase
,,,,,,+,oxidase
136698,"LiPuma AU15210, Vandamme R-47438","CIP 110710, LMG 26845, CCUG 62426, DSM 115984",1,1,Achromobacter insuavis,+,cytochrome oxidase
140507,,"CCUG 62449, LMG 3441",1,1,Achromobacter kerstersii,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,leucine arylamidase
140854,B2,"CCUG 56371, CCM 7608, CECT 7342, LMG 26219, CIP 110817",1,1,Achromobacter marplatensis,+,acid phosphatase
,,,,,,+,cytochrome oxidase
,,,,,,+,lipase
130143,"AU 13054, R-46658","DSM 29602, LMG 26685, CCUG 61961, CIP 110844",1,1,Achromobacter mucicolens,+,catalase
,,,,,,+,cytochrome-c oxidase
140508,,"LMG 3431, CCUG 61959, ATCC 15445",1,1,Achromobacter pestifer,+,acid phosphatase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,leucine arylamidase
320,366-5,"DSM 10342, ATCC 43552, CIP 60.75, IAM 12591, LMG 1873, JCM 20668, CGMCC 1.10399, NBRC 102461, NCTC 11970, CCUG 724, NBIMCC 557, Hugh 366-5",1,1,Achromobacter piechaudii,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,cytochrome-c oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,gamma-glutamyltransferase
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,oxidase
130144,"E38/27-S, R-16442","DSM 29617, CCUG 61972, LMG 26696, CIP 110842",1,1,Achromobacter pulmonis,+,catalase
,,,,,,+,cytochrome-c oxidase
309,,"DSM 653, ATCC 15749, CCUG 38886, LMG 1866, JCM 20676, CGMCC 1.10394, CIP 77.26, IAM 12600, IAM 12693, IAM 12694, JCM 20751, JCM 20752, NCIMB 11475, VKM B-1333, CCM 7494",1,1,Achromobacter ruhlandii,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,oxidase
,,,,,,+,tween esterase
,,,,,,+,urease
323,,"CIP 108199, DSM 23806, CCUG 47062, LMG 5911, API 198-2-84",1,1,Achromobacter spanius,+,acid phosphatase
,,,,,,+,amylase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,gamma-glutamyltransferase
,,,,,,+,leucine arylamidase
,,,,,,+,oxidase
168915,,"LMG 30378, CCUG 71558",1,1,Achromobacter veterisilvae,+,acid phosphatase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,DNase
,,,,,,+,leucyl glycin arylamidase
297,KM543,"DSM 2402, ATCC 27061, DSM 10346, NRRL 84082, CCUG 56438, CIP 71.32, NCTC 10807, LMG 1863, CCM 2741, IFO 15126, NCIMB 12033, JCM 9659, CCUG 12689, CECT 467, CECT 927, IAM 12684, NBRC 15126, NRRL B-4082, NCIB 12033",1,1,Achromobacter xylosoxidans subsp. xylosoxidans,+,acid phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,cytochrome-c oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,oxidase
98,VR4,"CCUG 9996, CIP 106432, DSM 20731, ATCC 25085",1,1,Acidaminococcus fermentans,+,acid phosphatase
,,,,,,+,gamma-glutamyltransferase
,,,,,,+,glycin arylamidase
,,,,,,+,histidine arylamidase
,,,,,,+,L-arginine arylamidase
,,,,,,+,leucine arylamidase
99,,"DSM 21505, CCUG 50930, CIP 108586, KCTC 15229, ADV 255.99, AIP 283.01",1,1,Acidaminococcus intestini,+,acid phosphatase
,,,,,,+,esterase (C 4)
,,,,,,+,glycin arylamidase
,,,,,,+,histidine arylamidase
,,,,,,+,L-arginine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
166226,G45-3,"CGMCC 1.16069, KCTC 62275",1,1,Acidibrevibacterium fodinaquatile,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase Lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
133054,,"DSM 29819, NCCB 100576, MCF 10",1,1,Acidicapsa acidiphila,+,beta-glucosidase
133383,SK-11,"DSM 100508, NBRC 111227",1,1,Acidicapsa acidisoli,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-fucosidase
,,,,,,+,alpha-galactosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,beta-glucuronidase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,cytochrome oxidase
142,KA1,"DSM 23886, LMG 25897, VKM B-2678",1,1,Acidicapsa borealis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-fucosidase
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,alpha-mannosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,beta-glucuronidase
159709,4GSKX,"CGMCC 1.15449, LMG 29213",1,1,Acidicapsa dinghuensis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-fucosidase
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,alpha-mannosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,beta-glucuronidase
,,,,,,+,cystine arylamidase
133053,,"DSM 28997, NCCB 100575, MCF 9",1,1,Acidicapsa ferrireducens,+,beta-glucosidase
,,,,,,+,gelatinase
143,WH120,"DSM 25248, LMG 26244, NCCB 100371, VKM B-2677",1,1,Acidicapsa ligni,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-fucosidase
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,alpha-mannosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,beta-glucuronidase
159903,"RGM 2506, USS-CCA1",DSM 106828,1,1,Acidiferrimicrobium australe,+,leucine arylamidase
,,,,,,+,valine arylamidase
166169,MS2-2,"MCCC 1K02682, NBRC 112978",1,1,Acidimangrovimonas sediminis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase Lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,valine arylamidase
132249,AP8,"DSM 103428, KCTC 23427, NBRC 107607",1,1,Acidipila rosea,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-fucosidase
,,,,,,+,alpha-galactosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,beta-glucuronidase
,,,,,,+,esterase (C 4)
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
12633,"14X, 0179","DSM 4900, ATCC 25562, VPI 0399, CIP 103025, NCIMB 11858",1,1,Acidipropionibacterium acidipropionici,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-arabinosidase
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,esterase (C 4)
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
130545,IGBL13,"DSM 25450, CECT 8062",1,1,Acidipropionibacterium damnosum,+,alkaline phosphatase
12651,29,"CCUG 48883, CIP 103028, NCIMB 8071, DSM 20535, ATCC 4868, NCDO 850, NCIB 8071",1,1,Acidipropionibacterium jensenii,+,acid phosphatase
,,,,,,+,alanine arylamidase
,,,,,,+,alpha-galactosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,beta-glucuronidase
,,,,,,+,glycin arylamidase
,,,,,,+,histidine arylamidase
,,,,,,+,L-arginine arylamidase
,,,,,,+,leucine arylamidase
12656,M5,"DSM 13435, CIP 109962, CNCM I-2360",1,1,Acidipropionibacterium microaerophilum,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,cystine arylamidase
,,,,,,+,esterase (C 4)
,,,,,,+,L-arginine arylamidase
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
12654,15,"DSM 20276, ATCC 4874, CCM 1865, CCUG 28149, HAMBI 247, JCM 6437, LMG 16455, NCDO 568, NCIB 5966, CGMCC 1.2228, CIP 103029, LMG 16731, NCIMB 5966, VPI 0412, VTT E-79095",1,1,Acidipropionibacterium thoenii,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,alpha-mannosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,L-arginine arylamidase
,,,,,,+,leucine arylamidase
158421,JS278,"DSM 106790, VTT E-113202",1,1,Acidipropionibacterium virtanenii,+,catalase
82,TPB606,"DSM 21000, VKM B-2487",1,1,Acidisoma sibiricum,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,phosphatidate phosphatase
,,,,,,+,urease
81,WM1,"DSM 19999, VKM B-2488",1,1,Acidisoma tundrae,+,acid phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,phosphatidate phosphatase
,,,,,,+,valine arylamidase
125,3/TA,"DSM 14887, ATCC 19377, JCM 3867, NCIMB 8343, CIP 104597, IAM 12134",1,1,Acidithiobacillus thiooxidans,+,acid phosphatase
,,,,,,+,esterase (C 4)
,,,,,,+,naphthol-AS-BI-phosphohydrolase
133033,PMMR2,"DSM 27394, LMG 28340",1,1,Acidobacterium ailaaui,+,alkaline phosphatase
,,,,,,+,alpha-fucosidase
,,,,,,+,beta-glucosidase
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
,,,,,,+,trypsin
,,,,,,+,urease
,,,,,,+,valine arylamidase
131,161,"DSM 11244, ATCC 51196, JCM 7670, NCIMB 13165, BCRC 80197, IFO 15755, NBRC 15755",1,1,Acidobacterium capsulatum,+,acid phosphatase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,beta-glucuronidase
,,,,,,+,N-acetyl-beta-glucosaminidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
133532,"AL46, VTCC-D9-1","NBRC 104303, DSM 108313, VTCC D9-1",1,1,Acidocella aluminiidurans,+,gelatinase
158255,Ok2G,"DSM 104037, NBRC 112502",1,1,Acidocella aquatica,+,catalase
140650,11B,ATCC 43068,1,1,Acidothermus cellulolyticus,+,cellulase
2900,P1G31,"DSM 16745, CFBP 3232, CCUG 64016, CIP 107058",1,1,Acidovorax anthurii,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,oxidase
,,,,,,+,urease
2891,,"DSM 7227, ATCC 19860, ICMP 3183, ICPB PA117, NCPPB 1011, CCUG 15838, LMG 2117, CIP 106500, JCM 20985, CFBP 2425, IAM 13658",1,1,Acidovorax avenae,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,amylase
,,,,,,+,caseinase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,lecithinase
,,,,,,+,leucine arylamidase
2903,R-24608,"DSM 19327, LMG 24103",1,1,Acidovorax caeni,+,catalase
,,,,,,+,cytochrome oxidase
2902,,"DSM 17101, ATCC 33619, CFBP 2423, ICMP 2826, ICPB PC21, LMG 2364, NCPPB 961, NRRL B835, CCUG 21975, NRRL B-835, CIP 106435, LMG 5286",1,1,Acidovorax cattleyae,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,caseinase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,tween esterase
,,,,,,+,urease
2901,,"CCUG 17393, CIP 106436, DSM 17060, ATCC 29625, CCUG 1739, ICMP 7500, LMG 5376",1,1,Acidovorax citrulli,+,cytochrome oxidase
2898,,"DSM 12644, CIP 106824, CCUG 49021, BSB 411",1,1,Acidovorax defluvii,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,lecithinase
,,,,,,+,leucine arylamidase
,,,,,,+,oxidase
,,,,,,+,tween esterase
2885,"133, FD-6","CCUG 1779, LMG 5943, DSM 64, ATCC 17505, DSM 50263, DSM 50403, CIP 103303, NCIMB 11476",1,1,Acidovorax delafieldii,+,alkaline phosphatase
,,,,,,+,caseinase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,lecithinase
,,,,,,+,leucine arylamidase
,,,,,,+,lipase
,,,,,,+,oxidase
2888,,"DSM 649, ATCC 11228, CCUG 2113, LMG 6221, LMG 2193, CCM 4561, CIP 103302, NCIMB 9938",1,1,Acidovorax facilis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,caseinase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,lecithinase
,,,,,,+,leucine arylamidase
,,,,,,+,oxidase
158808,KNDSW-TSA6,"MTCC 12652, KCTC 52819, VTCC B-910010",1,1,Acidovorax kalamii,+,cytochrome oxidase
2893,K2,"DSM 7481, ATCC 33996, CCUG 17394, ICMP 7733, LMG 5691, JCM 2397, CIP 106439, CFBP 4460, NCPPB 3698",1,1,Acidovorax konjaci,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,oxidase
,,,,,,+,urease
2905,N35,"DSM 23535, LMG 25767",1,1,Acidovorax radicis,+,cytochrome oxidase
2892,,"DSM 7270, ATCC 49665, CCUG 11779, LMG 7169, CIP 103457, CCM 4562",1,1,Acidovorax temperans,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase lipase (C 8)
,,,,,,+,lecithinase
,,,,,,+,leucine arylamidase
,,,,,,+,lipase
,,,,,,+,oxidase
,,,,,,+,protease
,,,,,,+,tween esterase
2899,,"DSM 16619, CFBP 4730, NCPPB 4283, CIP 107997",1,1,Acidovorax valerianellae,+,alcohol dehydrogenase
,,,,,,+,alkaline phosphatase
,,,,,,+,amylase
,,,,,,+,caseinase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
23868,NF 1078,"DSM 27981, CCUG 62584, LMG 26971",1,1,Acidovorax wautersii,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,urease
8093,"2208, 81","DSM 30007, ATCC 19606, CIP 70.34, DSM 6974, JCM 6841, CCUG 19096, CGMCC 1.6769, IAM 12088, KCTC 2508, LMG 1041, LMG 10545, NBRC 109757, NCIMB 12457, NCTC 12156",1,1,Acinetobacter baumannii,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gamma-glutamyltransferase
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
8126,B2,"DSM 14961, CIP 107474, CCUG 50765, CCM 7195",1,1,Acinetobacter baylyi,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gamma-glutamyltransferase
,,,,,,+,leucine arylamidase
,,,,,,+,lipase (C 14)
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,urease
8141,58a,"DSM 22901, CCM 7266, CCUG 51249, JCM 18990, NIPH 838, LUH 4759, CIP 110307, GTC 14628, LMG 25324, NBRC 112579",1,1,Acinetobacter beijerinckii,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,lipase (C 14)
,,,,,,+,naphthol-AS-BI-phosphohydrolase
8145,69,"DSM 25435, ATCC 17924, CIP 70.12, LMG 1003, NIPH 521, CCUG 26493, ATCC 13702, NCIMB 9019",1,1,Acinetobacter bereziniae,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,lipase (C 14)
,,,,,,+,urease
130449,SAP284.1,"DSM 29976, CECT 8128, LMG 26959, CCUG 68432, CIP 110548, SAP 284.1",1,1,Acinetobacter boissieri,+,catalase
8131,"4BO2, 4B02","CCUG 50766, DSM 14964, CIP 107468, JCM 18991, CCM 7196, GTC 3697, KCTC 12414, NBRC 112580",1,1,Acinetobacter bouvetii,+,beta-galactosidase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
8140,5YN5-8,"DSM 18516, CIP 110357, KACC 11602, CCUG 61636, CIP 110501, ANC 4119",1,1,Acinetobacter brisouii,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
