"name","eq","way","ec","ko","rn","symbol","map","md"
"1,4-alpha-glucan branching enzyme [EC:2.4.1.18]","Amylose <=> Starch","Bidirectional","2.4.1.18","K16149","R02110","K16149","map00500","M00565, M00854"
"1-phosphofructokinase [EC:2.7.1.56]","ATP + D-Fructose 1-phosphate <=> ADP + D-Fructose 1,6-bisphosphate","Bidirectional","2.7.1.56","K00882","R13203","fruK","map00051",NA
"1-propanol dehydrogenase","Propane-1-ol + NAD+ <=> Propanal + NADH + H+","Bidirectional","1.1.1.202","K13921","R02377","pduQ","map00640",NA
"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]","2-Phospho-D-glycerate <=> 3-Phospho-D-glycerate","Bidirectional","5.4.2.11, 5.4.2.12","K01834","R01518","PGAM","map00010, map00680",NA
"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]","2-Phospho-D-glycerate <=> 3-Phospho-D-glycerate","Bidirectional","5.4.2.11, 5.4.2.12","K15634","R01518","gpmB","map00010, map00680",NA
"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]","2-Phospho-D-glycerate <=> 3-Phospho-D-glycerate","Bidirectional","5.4.2.11, 5.4.2.12","K15633","R01518","gpmI","map00010, map00680",NA
"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]","2-Phospho-D-glycerate <=> 3-Phospho-D-glycerate","Bidirectional","5.4.2.11, 5.4.2.12","K15635","R01518","apgM","map00010, map00680",NA
"2,4-didehydro-3-deoxy-L-rhamnonate hydrolase [EC:3.7.1.26]","2,4-Diketo-3-deoxy-L-fuconate + H2O <=> (S)-Lactate + Pyruvate","Bidirectional","3.7.1.26","K18336","R10691","lra6","map00051",NA
"2,5-dioxopentanoate dehydrogenase [EC:1.2.1.26]","2,5-Dioxopentanoate + NADP+ + H2O <=> 2-Oxoglutarate + NADPH + H+","Bidirectional","1.2.1.3, 1.2.1.26","K13877","R00264","aldH","map00040, map00053",NA
"2,5-dioxopentanoate dehydrogenase [EC:1.2.1.26]","2,5-Dioxopentanoate + NADP+ + H2O <=> 2-Oxoglutarate + NADPH + H+","Bidirectional","1.2.1.3, 1.2.1.26","K19588","R00264","dopDH","map00040, map00053",NA
"2-aminoadipate transaminase [EC:2.6.1.-]","Glycine + 2-Oxoglutarate <=> Glyoxylate + L-Glutamate","Bidirectional","2.6.1.4, 2.6.1.44","K05825","R00372","LYSN","map00630",NA
"2-aminoadipate transaminase [EC:2.6.1.-]","L-Alanine + Glyoxylate <=> Pyruvate + Glycine","Bidirectional","2.6.1.44","K05825","R00369","LYSN","map00630",NA
"2-dehydro-3-deoxy-D-arabinonate dehydratase [EC:4.2.1.141]","2-Dehydro-3-deoxy-D-xylonate <=> 2,5-Dioxopentanoate + H2O","Bidirectional","4.2.1.141","K14259","R09186","kdaD","map00040, map00053",NA
"2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]","2-Dehydro-3-deoxy-D-gluconate + NAD+ <=> (4S)-4,6-Dihydroxy-2,5-dioxohexanoate + NADH + H+","Bidirectional","1.1.1.125, 1.1.1.127","K00065","R01542","kduD","map00040",NA
"2-dehydro-3-deoxy-D-gluconate aldolase [EC:4.1.2.51]","2-Dehydro-3-deoxy-D-galactonate <=> Pyruvate + D-Glyceraldehyde","Bidirectional","4.1.2.51, 4.1.2.55","K18127","R10616","kdgA","map00052","M00309"
"2-dehydro-3-deoxy-D-gluconate aldolase [EC:4.1.2.51]","2-Dehydro-3-deoxy-D-gluconate <=> D-Glyceraldehyde + Pyruvate","Bidirectional","4.1.2.51, 4.1.2.55","K18127","R08570","kdgA","map00030","M00309"
"2-dehydro-3-deoxy-D-pentonate aldolase [EC:4.1.2.28]","2-Dehydro-3-deoxy-D-xylonate <=> Pyruvate + Glycolaldehyde","Bidirectional","4.1.2.28","K22397","R01782","yjhH","map00040",NA
"2-dehydro-3-deoxy-L-fuconate 4-dehydrogenase [EC:1.1.1.434]","2-Dehydro-3-deoxy-L-fuconate + NAD+ <=> 2,4-Diketo-3-deoxy-L-fuconate + NADH + H+","Bidirectional","1.1.1.434","K18335","R10690","E1.1.1.434","map00051",NA
"2-dehydro-3-deoxy-L-fuconate aldolase [EC:4.1.2.64]","2-Dehydro-3-deoxy-L-fuconate <=> Pyruvate + (S)-Lactaldehyde","Bidirectional","4.1.2.64","K26911","R13181","fucH","map00051",NA
"2-dehydro-3-deoxy-L-rhamnonate aldolase [EC:4.1.2.53]","2-Dehydro-3-deoxy-L-rhamnonate <=> (S)-Lactaldehyde + Pyruvate","Bidirectional","4.1.2.53","K12660","R02261","rhmA","map00051",NA
"2-dehydro-3-deoxy-L-rhamnonate dehydrogenase (NAD+) [EC:1.1.1.401]","2-Dehydro-3-deoxy-L-rhamnonate + NAD+ <=> 2,4-Diketo-3-deoxy-L-fuconate + NADH + H+","Bidirectional","1.1.1.401","K21883","R11339","lra5","map00051",NA
"2-dehydro-3-deoxy-phosphogluconate aldolase [EC:4.1.2.14]","2-Dehydro-3-deoxy-6-phospho-D-gluconate <=> D-Glyceraldehyde 3-phosphate + Pyruvate","Bidirectional","4.1.2.14, 4.1.2.55","K17463","R05605","dgaF","map00030","M00061, M00631"
"2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonate aldolase [EC:4.1.2.55]","2-Dehydro-3-deoxy-6-phospho-D-galactonate <=> Pyruvate + D-Glyceraldehyde 3-phosphate","Bidirectional","4.1.2.21, 4.1.2.55","K11395","R01064","kdpgA","map00052","M00309, M00633"
"2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonate aldolase [EC:4.1.2.55]","2-Dehydro-3-deoxy-6-phospho-D-gluconate <=> D-Glyceraldehyde 3-phosphate + Pyruvate","Bidirectional","4.1.2.14, 4.1.2.55","K11395","R05605","kdpgA","map00030","M00309, M00633"
"2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonate aldolase [EC:4.1.2.55]","2-Dehydro-3-deoxy-D-galactonate <=> Pyruvate + D-Glyceraldehyde","Bidirectional","4.1.2.51, 4.1.2.55","K11395","R10616","kdpgA","map00052","M00309, M00633"
"2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonate aldolase [EC:4.1.2.55]","2-Dehydro-3-deoxy-D-gluconate <=> D-Glyceraldehyde + Pyruvate","Bidirectional","4.1.2.51, 4.1.2.55","K11395","R08570","kdpgA","map00030","M00309, M00633"
"2-dehydro-3-deoxygalactonokinase [EC:2.7.1.58]","ATP + 2-Dehydro-3-deoxy-D-galactonate <=> ADP + 2-Dehydro-3-deoxy-6-phospho-D-galactonate","Bidirectional","2.7.1.58, 2.7.1.178","K00883","R03387","dgoK","map00052","M00552"
"2-dehydro-3-deoxyglucarate aldolase [EC:4.1.2.20]","2-Hydroxy-3-oxopropanoate + Pyruvate <=> 2-Dehydro-3-deoxy-D-glucarate","Bidirectional","4.1.2.20","K01630","R03277","garL","map00053",NA
"2-dehydro-3-deoxyglucarate aldolase [EC:4.1.2.20]","5-Dehydro-4-deoxy-D-glucarate <=> Pyruvate + 2-Hydroxy-3-oxopropanoate","Bidirectional","4.1.2.20","K01630","R02754","garL","map00053",NA
"2-dehydro-3-deoxygluconokinase / 2-dehydro-3-deoxygalactonokinase [EC:2.7.1.178]","ATP + 2-Dehydro-3-deoxy-D-galactonate <=> ADP + 2-Dehydro-3-deoxy-6-phospho-D-galactonate","Bidirectional","2.7.1.58, 2.7.1.178","K18126","R03387","sskdgK","map00052","M00633"
"2-dehydro-3-deoxygluconokinase / 2-dehydro-3-deoxygalactonokinase [EC:2.7.1.178]","ATP + 2-Dehydro-3-deoxy-D-gluconate <=> ADP + 2-Dehydro-3-deoxy-6-phospho-D-gluconate","Bidirectional","2.7.1.45, 2.7.1.178","K18126","R01541","sskdgK","map00030","M00633"
"2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]","ATP + 2-Dehydro-3-deoxy-D-gluconate <=> ADP + 2-Dehydro-3-deoxy-6-phospho-D-gluconate","Bidirectional","2.7.1.45, 2.7.1.178","K00874","R01541","kdgK","map00030","M00061, M00308, M00631"
"2-dehydro-3-deoxyphosphogalactonate aldolase [EC:4.1.2.21]","2-Dehydro-3-deoxy-6-phospho-D-galactonate <=> Pyruvate + D-Glyceraldehyde 3-phosphate","Bidirectional","4.1.2.21, 4.1.2.55","K01631","R01064","dgoA","map00052","M00552"
"2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]","2-Dehydro-3-deoxy-6-phospho-D-gluconate <=> D-Glyceraldehyde 3-phosphate + Pyruvate","Bidirectional","4.1.2.14, 4.1.2.55","K01625","R05605","eda","map00030","M00008, M00061, M00308, M00631"
"2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]","4-Hydroxy-2-oxoglutarate <=> Pyruvate + Glyoxylate","Bidirectional","4.1.3.16, 4.1.3.42","K01625","R00470","eda","map00630",NA
"2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]","D-Glycerate + NAD+ <=> 2-Hydroxy-3-oxopropanoate + NADH + H+","Bidirectional","1.1.1.60","K00042","R01745","garR","map00630",NA
"2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]","D-Glycerate + NADP+ <=> 2-Hydroxy-3-oxopropanoate + NADPH + H+","Bidirectional","1.1.1.60","K00042","R01747","garR","map00630",NA
"2-hydroxy-4-(methylsulfanyl)butanoate S-methyltransferase [EC:2.1.1.373]","S-Adenosyl-L-methionine + (2R)-2-Hydroxy-4-(methylsulfanyl)butanoate <=> S-Adenosyl-L-homocysteine + (2R)-4-(Dimethylsulfaniumyl)-2-hydroxybutanoate","Bidirectional","2.1.1.373","K24666","R12666","dsyB","map00920",NA
"2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]","2-Hydroxyglutarate + FAD <=> 2-Oxoglutarate + FADH2","Bidirectional","1.1.99.2","K00109","R03534","L2HGDH","map00650",NA
"2-isopropylmalate synthase [EC:2.3.3.13]","alpha-Isopropylmalate + CoA <=> Acetyl-CoA + 3-Methyl-2-oxobutanoic acid + H2O","Bidirectional","2.3.3.13","K01649","R01213","leuA","map00620",NA
"2-keto-3-deoxy-L-arabinonate dehydratase [EC:4.2.1.43]","2-Dehydro-3-deoxy-L-arabinonate <=> 2,5-Dioxopentanoate + H2O","Bidirectional","4.2.1.43","K13876","R02278","araD","map00053",NA
"2-keto-3-deoxy-L-rhamnonate aldolase [EC:4.1.2.53]","2-Dehydro-3-deoxy-L-rhamnonate <=> (S)-Lactaldehyde + Pyruvate","Bidirectional","4.1.2.53","K18339","R02261","LRA4","map00051",NA
"2-ketogluconate reductase [EC:1.1.1.215]","D-Gluconic acid + NADP+ <=> 2-Keto-D-gluconic acid + NADPH + H+","Bidirectional","1.1.1.215","K22229","R01739","K22229","map00030",NA
"2-methylaconitate isomerase [EC:5.3.3.-]","2-Methyl-trans-aconitate <=> (Z)-But-2-ene-1,2,3-tricarboxylate","Bidirectional",NA,"K09788","R11264","prpF","map00640","M00982"
"2-methylcitrate dehydratase (2-methyl-trans-aconitate forming) [EC:4.2.1.117]","2-Methylcitrate <=> 2-Methyl-trans-aconitate + H2O","Bidirectional","4.2.1.117","K20455","R11263","acnD","map00640","M00982"
"2-methylcitrate dehydratase [EC:4.2.1.79]","2-Methylcitrate <=> (Z)-But-2-ene-1,2,3-tricarboxylate + H2O","Bidirectional","4.2.1.79","K01720","R04424","prpD","map00640","M00982"
"2-methylcitrate synthase [EC:2.3.3.5]","2-Methylcitrate + CoA <=> Propanoyl-CoA + Oxaloacetate + H2O","Bidirectional","2.3.3.5","K01659","R00931","prpC","map00640","M00982"
"2-methylcitrate synthase [EC:2.3.3.5]","2-Methylcitrate + CoA <=> Propanoyl-CoA + Oxaloacetate + H2O","Bidirectional","2.3.3.5","K27797","R00931","MCSA","map00640",NA
"2-methylcitrate synthase [EC:2.3.3.5]","Citrate + CoA <=> Acetyl-CoA + H2O + Oxaloacetate","Bidirectional","2.3.3.1, 2.3.3.3, 2.3.3.5, 2.3.3.16","K01659","R00351","prpC","map00020, map00630","M00009, M00010, M00740, M00982, M00012, M00740"
"2-methylcitrate synthase [EC:2.3.3.5]","Citrate + CoA <=> Acetyl-CoA + H2O + Oxaloacetate","Bidirectional","2.3.3.1, 2.3.3.3, 2.3.3.5, 2.3.3.16","K27797","R00351","MCSA","map00020, map00630",NA
"2-methylfumaryl-CoA hydratase [EC:4.2.1.148]","L-erythro-3-Methylmalyl-CoA <=> 2-Methylfumaryl-CoA + H2O","Bidirectional","4.2.1.148","K14449","R05076","mch","map00630, map00720",NA
"2-methylfumaryl-CoA isomerase [EC:5.4.1.3]","2-Methylfumaryl-CoA <=> 3-Methylfumaryl-CoA","Bidirectional","5.4.1.3","K14470","R09283","mct","map00720",NA
"2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]","2-Oxoglutarate + Thiamin diphosphate <=> 3-Carboxy-1-hydroxypropyl-ThPP + CO2","Bidirectional","1.2.4.2","K00164","R00621","OGDH","map00020",NA
"2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]","3-Carboxy-1-hydroxypropyl-ThPP + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue succinyltransferase] S-succinyldihydrolipoyllysine + Thiamin diphosphate","Bidirectional","1.2.4.2","K00164","R03316","OGDH","map00020",NA
"2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]","Succinyl-CoA + Enzyme N6-(dihydrolipoyl)lysine <=> CoA + [Dihydrolipoyllysine-residue succinyltransferase] S-succinyldihydrolipoyllysine","Bidirectional","2.3.1.61","K00658","R02570","DLST","map00020",NA
"2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11], 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]","2 Reduced ferredoxin + Acetyl-CoA + CO2 + 2 H+ <=> 2 Oxidized ferredoxin + Pyruvate + CoA","Bidirectional","1.2.7.1, 1.2.7.11","K00174, K00175","R01196","korA, korB","map00010, map00020, map00620, map00650, map00680, map00720",NA
"2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11], 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]","2 Reduced ferredoxin + Succinyl-CoA + CO2 + 2 H+ <=> 2 Oxidized ferredoxin + 2-Oxoglutarate + CoA","Bidirectional","1.2.7.3, 1.2.7.11","K00174, K00175","R01197","korA, korB","map00020, map00720","M00009, M00011, M00173"
"2-oxoisovalerate dehydrogenase E1 component [EC:1.2.4.4]","2-(alpha-Hydroxypropyl)thiamine diphosphate + Enzyme N6-(lipoyl)lysine <=> Enzyme N6-(S-propyldihydrolipoyl)lysine + Thiamin diphosphate","Bidirectional","1.2.4.4","K11381","R10997","bkdA","map00640",NA
"2-oxoisovalerate dehydrogenase E1 component [EC:1.2.4.4]","2-Oxobutanoate + Thiamin diphosphate <=> 2-(alpha-Hydroxypropyl)thiamine diphosphate + CO2","Bidirectional","1.2.4.4","K11381","R10996","bkdA","map00640",NA
"2-oxoisovalerate dehydrogenase E1 component subunit alpha [EC:1.2.4.4], 2-oxoisovalerate dehydrogenase E1 component subunit beta [EC:1.2.4.4]","2-(alpha-Hydroxypropyl)thiamine diphosphate + Enzyme N6-(lipoyl)lysine <=> Enzyme N6-(S-propyldihydrolipoyl)lysine + Thiamin diphosphate","Bidirectional","1.2.4.4","K00166, K00167","R10997","BCKDHA, BCKDHB","map00640",NA
"2-oxoisovalerate dehydrogenase E1 component subunit alpha [EC:1.2.4.4], 2-oxoisovalerate dehydrogenase E1 component subunit beta [EC:1.2.4.4]","2-Oxobutanoate + Thiamin diphosphate <=> 2-(alpha-Hydroxypropyl)thiamine diphosphate + CO2","Bidirectional","1.2.4.4","K00166, K00167","R10996","BCKDHA, BCKDHB","map00640",NA
"2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase) [EC:2.3.1.168]","Propanoyl-CoA + Enzyme N6-(dihydrolipoyl)lysine <=> CoA + Enzyme N6-(S-propyldihydrolipoyl)lysine","Bidirectional","2.3.1.168","K09699","R10998","DBT","map00640",NA
"2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.7 1.2.7.1]","2 Oxidized ferredoxin + 2-Oxobutanoate + CoA <=> 2 Reduced ferredoxin + Propanoyl-CoA + CO2 + 2 H+","Bidirectional","1.2.7.1","K00189","R01199","vorG","map00640",NA
"2-phospho-L-lactate/phosphoenolpyruvate guanylyltransferase [EC:2.7.7.68 2.7.7.105]","(2S)-2-Phospholactate + GTP <=> (2S)-Lactyl-2-diphospho-5'-guanosine + Diphosphate","Bidirectional","2.7.7.68","K14941","R09397","cofC","map00680",NA
"2-phospho-L-lactate/phosphoenolpyruvate guanylyltransferase [EC:2.7.7.68 2.7.7.105]","Phosphoenolpyruvate + GTP <=> Enolpyruvoyl-2-diphospho-5'-guanosine + Diphosphate","Bidirectional","2.7.7.105","K14941","R12646","cofC","map00680",NA
"2-phosphosulfolactate phosphatase [EC:3.1.3.71]","(2R)-O-Phospho-3-sulfolactate + H2O <=> (2R)-3-Sulfolactate + Orthophosphate","Bidirectional","3.1.3.71","K05979","R05789","comB","map00680","M00358"
"3'(2'), 5'-bisphosphate nucleotidase / inositol polyphosphate 1-phosphatase [EC:3.1.3.7 3.1.3.57]","3'-Phosphoadenylyl sulfate + H2O <=> Adenylyl sulfate + Orthophosphate","Bidirectional","3.1.3.7","K15422","R00508","SAL","map00920",NA
"3'(2'), 5'-bisphosphate nucleotidase [EC:3.1.3.7]","3'-Phosphoadenylyl sulfate + H2O <=> Adenylyl sulfate + Orthophosphate","Bidirectional","3.1.3.7","K01082","R00508","cysQ","map00920",NA
"3'-phosphoadenosine 5'-phosphosulfate synthase [EC:2.7.7.4 2.7.1.25]","ATP + Adenylyl sulfate <=> ADP + 3'-Phosphoadenylyl sulfate","Bidirectional","2.7.1.25","K13811","R00509","PAPSS","map00920","M00987"
"3'-phosphoadenosine 5'-phosphosulfate synthase [EC:2.7.7.4 2.7.1.25]","ATP + Sulfate <=> Diphosphate + Adenylyl sulfate","Bidirectional","2.7.7.4","K13811","R00529","PAPSS","map00920","M00987"
"3-(methylsulfanyl)propanoyl-CoA dehydrogenase [EC:1.3.99.41]","3-(Methylthio)propanoyl-CoA + Acceptor <=> 3-(Methylthio)acryloyl-CoA + Reduced acceptor","Bidirectional","1.3.99.41","K20035","R11130","dmdC","map00920","M00990"
"3-(methylthio)propionyl---CoA ligase [EC:6.2.1.44]","ATP + 3-(Methylthio)propanoate + CoA <=> AMP + Diphosphate + 3-(Methylthio)propanoyl-CoA","Bidirectional","6.2.1.44","K20034","R10820","dmdB","map00920","M00990"
"3-dehydro-L-gulonate 2-dehydrogenase [EC:1.1.1.130]","3-Dehydro-L-gulonate + NAD+ <=> (4R,5S)-4,5,6-Trihydroxy-2,3-dioxohexanoate + NADH + H+","Bidirectional","1.1.1.130","K08092","R02637","dlgD","map00040, map00053",NA
"3-dehydro-L-gulonate 2-dehydrogenase [EC:1.1.1.130]","3-Dehydro-L-gulonate + NADP+ <=> (4R,5S)-4,5,6-Trihydroxy-2,3-dioxohexanoate + NADPH + H+","Bidirectional","1.1.1.130","K08092","R02639","dlgD","map00040, map00053",NA
"3-dehydro-L-gulonate-6-phosphate decarboxylase [EC:4.1.1.85]","3-Dehydro-L-gulonate 6-phosphate + H+ <=> L-Xylulose 5-phosphate + CO2","Bidirectional","4.1.1.85","K03078","R07125","ulaD","map00040, map00053",NA
"3-hexulose-6-phosphate synthase / 6-phospho-3-hexuloisomerase [EC:4.1.2.43 5.3.1.27]","D-Ribulose 5-phosphate + Formaldehyde <=> D-arabino-Hex-3-ulose 6-phosphate","Bidirectional","4.1.2.43","K13831","R05338","hps-phi","map00030, map00680","M00345, M00580, M00345"
"3-hexulose-6-phosphate synthase / 6-phospho-3-hexuloisomerase [EC:4.1.2.43 5.3.1.27]","D-arabino-Hex-3-ulose 6-phosphate <=> D-Fructose 6-phosphate","Bidirectional","5.3.1.27","K13831","R05339","hps-phi","map00030, map00680","M00345, M00580, M00345"
"3-hexulose-6-phosphate synthase [EC:4.1.2.43]","D-Ribulose 5-phosphate + Formaldehyde <=> D-arabino-Hex-3-ulose 6-phosphate","Bidirectional","4.1.2.43","K08093","R05338","hxlA","map00030, map00680","M00345, M00580, M00345"
"3-hydroxy acid dehydrogenase / malonic semialdehyde reductase [EC:1.1.1.381 1.1.1.-]","3-Hydroxypropanoate + NADP+ <=> 3-Oxopropanoate + NADPH + H+","Bidirectional","1.1.1.298","K16066","R09289","ydfG","map00720",NA
"3-hydroxy-D-aspartate aldolase [EC:4.1.3.41]","D-erythro-3-Hydroxyaspartate <=> Glycine + Glyoxylate","Bidirectional","4.1.3.41","K18425","R09718","dhaa","map00630",NA
"3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8]","(S)-3-Hydroxybutanoyl-CoA + NAD+ <=> Acetoacetyl-CoA + NADH + H+","Bidirectional","1.1.1.35","K01825","R01975","fadB","map00650, map00720",NA
"3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8]","(S)-3-Hydroxybutanoyl-CoA <=> (R)-3-Hydroxybutanoyl-CoA","Bidirectional","5.1.2.3","K01825","R03276","fadB","map00650",NA
"3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8]","(S)-3-Hydroxybutanoyl-CoA <=> Crotonoyl-CoA + H2O","Bidirectional","4.2.1.17","K01825","R03026","fadB","map00650, map00720",NA
"3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8]","3-Hydroxypropionyl-CoA <=> Propenoyl-CoA + H2O","Bidirectional","4.2.1.17, 4.2.1.116","K01825","R03045","fadB","map00640, map00720",NA
"3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3]","(S)-3-Hydroxybutanoyl-CoA + NAD+ <=> Acetoacetyl-CoA + NADH + H+","Bidirectional","1.1.1.35","K01782","R01975","fadJ","map00650, map00720",NA
"3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3]","(S)-3-Hydroxybutanoyl-CoA <=> (R)-3-Hydroxybutanoyl-CoA","Bidirectional","5.1.2.3","K01782","R03276","fadJ","map00650",NA
