abbreviation,equation,direction,officialName,geneAssociation,subsystem,reaction_ID,Enzyme,Genes
homocitrate synthase [EC:2.3.3.14],"Acetyl-CoA + H2O + 2-Oxoglutarate <=> (R)-2-Hydroxybutane-1,2,4-tricarboxylate + CoA",Bidirectional,2.3.3.14,K01655,None,R00271,LYS21,LYS21
homocitrate synthase NifV [EC:2.3.3.14],"Acetyl-CoA + H2O + 2-Oxoglutarate <=> (R)-2-Hydroxybutane-1,2,4-tricarboxylate + CoA",Bidirectional,2.3.3.14,K02594,None,R00271,nifV,nifV
methanogen homocitrate synthase [EC:2.3.3.14 2.3.3.-],"Acetyl-CoA + H2O + 2-Oxoglutarate <=> (R)-2-Hydroxybutane-1,2,4-tricarboxylate + CoA",Bidirectional,2.3.3.14,K10977,None,R00271,aksA,aksA
D-lactate dehydrogenase,(R)-Lactate + NAD+ <=> Pyruvate + NADH + H+,Bidirectional,1.1.99.6,K18930,None,R00297,dld,dld
D-lactate dehydrogenase (acceptor) [EC:1.1.99.6],(R)-Lactate + Acceptor <=> Pyruvate + Reduced acceptor,Bidirectional,1.1.99.6,K21836,None,R00297,dld,dld
acetyl-CoA synthetase [EC:6.2.1.1],ATP + Acetate <=> Diphosphate + Acetyl adenylate,Bidirectional,6.2.1.1,K01895,None,R00316,ACSS1_2,ACSS1_2
acetate/butyrate---CoA ligase [EC:6.2.1.1 6.2.1.2],ATP + Acetate <=> Diphosphate + Acetyl adenylate,Bidirectional,6.2.1.1,K01913,None,R00316,AAE7,AAE7
acylphosphatase [EC:3.6.1.7],Acetyl phosphate + H2O <=> Acetate + Orthophosphate,Bidirectional,3.6.1.7,K01512,None,R00317,acyP,acyP
lactate 2-monooxygenase [EC:1.13.12.4],(S)-Lactate + Oxygen <=> Acetate + CO2 + H2O,Bidirectional,1.13.12.4,K00467,None,R00319,E1.13.12.4,E1.13.12.4
phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49],ATP + Oxaloacetate <=> ADP + Phosphoenolpyruvate + CO2,Bidirectional,4.1.1.49,K01610,None,R00341,pckA,pckA
pyruvate carboxylase [EC:6.4.1.1],ATP + Pyruvate + HCO3- <=> ADP + Orthophosphate + Oxaloacetate,Bidirectional,6.4.1.1,K01958,None,R00344,PC,PC
"pyruvate carboxylase subunit A [EC:6.4.1.1], pyruvate carboxylase subunit B [EC:6.4.1.1]",ATP + Pyruvate + HCO3- <=> ADP + Orthophosphate + Oxaloacetate,Bidirectional,6.4.1.1,"K01959, K01960",None,R00344,"pycA, pycB","pycA, pycB"
phosphoenolpyruvate carboxykinase (diphosphate) [EC:4.1.1.38],Diphosphate + Oxaloacetate <=> Orthophosphate + Phosphoenolpyruvate + CO2,Bidirectional,4.1.1.38,K20370,None,R00346,PEPCK,PEPCK
phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32],GTP + Oxaloacetate <=> GDP + Phosphoenolpyruvate + CO2,Bidirectional,4.1.1.32,K01596,None,R00431,E4.1.1.32,E4.1.1.32
malate synthase [EC:2.3.3.9],(S)-Malate + CoA <=> Acetyl-CoA + H2O + Glyoxylate,Bidirectional,2.3.3.9,K01638,None,R00472,aceB,aceB
L-lactate dehydrogenase [EC:1.1.1.27],(S)-Lactate + NAD+ <=> Pyruvate + NADH + H+,Bidirectional,1.1.1.27,K00016,None,R00703,LDH,LDH
D-lactate dehydrogenase (quinone) [EC:1.1.5.12],(R)-Lactate + NAD+ <=> Pyruvate + NADH + H+,Bidirectional,1.1.1.28,K03777,None,R00704,dld,dld
D-lactate dehydrogenase [EC:1.1.1.28],(R)-Lactate + NAD+ <=> Pyruvate + NADH + H+,Bidirectional,1.1.1.28,K03778,None,R00704,ldhA,ldhA
aldehyde dehydrogenase (NAD+) [EC:1.2.1.3],Acetaldehyde + NAD+ + H2O <=> Acetate + NADH + H+,Bidirectional,"1.2.1.3, 1.2.1.5",K00128,None,R00710,ALDH,ALDH
aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3],Acetaldehyde + NAD+ + H2O <=> Acetate + NADH + H+,Bidirectional,"1.2.1.3, 1.2.1.5",K00149,None,R00710,ALDH9A1,ALDH9A1
aldehyde dehydrogenase family 7 member A1 [EC:1.2.1.31 1.2.1.8 1.2.1.3],Acetaldehyde + NAD+ + H2O <=> Acetate + NADH + H+,Bidirectional,"1.2.1.3, 1.2.1.5",K14085,None,R00710,ALDH7A1,ALDH7A1
aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5],Acetaldehyde + NADP+ + H2O <=> Acetate + NADPH + H+,Bidirectional,"1.2.1.4, 1.2.1.5",K00129,None,R00711,ALDH3,ALDH3
aldehyde dehydrogenase [EC:1.2.1.-],Acetaldehyde + NADP+ + H2O <=> Acetate + NADPH + H+,Bidirectional,"1.2.1.4, 1.2.1.5",K00138,None,R00711,aldB,aldB
phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32],ITP + Oxaloacetate <=> IDP + Phosphoenolpyruvate + CO2,Bidirectional,4.1.1.32,K01596,None,R00726,E4.1.1.32,E4.1.1.32
acetyl-CoA carboxylase / biotin carboxylase 2 [EC:6.4.1.2 6.3.4.14 2.1.3.15],ATP + Acetyl-CoA + HCO3- <=> ADP + Orthophosphate + Malonyl-CoA,Bidirectional,6.4.1.2,K01946,None,R00742,ACACB,ACACB
"acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]",ATP + Acetyl-CoA + HCO3- <=> ADP + Orthophosphate + Malonyl-CoA,Bidirectional,6.4.1.2,K01961,None,R00742,accC,accC
"acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15], acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]",ATP + Acetyl-CoA + HCO3- <=> ADP + Orthophosphate + Malonyl-CoA,Bidirectional,6.4.1.2,"K01962, K01963",None,R00742,"accA, accD","accA, accD"
acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3],ATP + Acetyl-CoA + HCO3- <=> ADP + Orthophosphate + Malonyl-CoA,Bidirectional,6.4.1.2,K01964,None,R00742,K01964,K01964
acetyl-CoA carboxylase biotin carboxyl carrier protein,ATP + Acetyl-CoA + HCO3- <=> ADP + Orthophosphate + Malonyl-CoA,Bidirectional,6.4.1.2,K02160,None,R00742,accB,accB
acetyl-CoA carboxylase / biotin carboxylase 1 [EC:6.4.1.2 6.3.4.14 2.1.3.15],ATP + Acetyl-CoA + HCO3- <=> ADP + Orthophosphate + Malonyl-CoA,Bidirectional,6.4.1.2,K11262,None,R00742,ACACA,ACACA
"acetyl-CoA/propionyl-CoA/long-chain acyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.4.1.- 6.3.4.14]",ATP + Acetyl-CoA + HCO3- <=> ADP + Orthophosphate + Malonyl-CoA,Bidirectional,6.4.1.2,K11263,None,R00742,bccA,bccA
acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3 2.1.3.15],ATP + Acetyl-CoA + HCO3- <=> ADP + Orthophosphate + Malonyl-CoA,Bidirectional,6.4.1.2,K15036,None,R00742,K15036,K15036
biotin carboxyl carrier protein,ATP + Acetyl-CoA + HCO3- <=> ADP + Orthophosphate + Malonyl-CoA,Bidirectional,6.4.1.2,K15037,None,R00742,K15037,K15037
acetyl-CoA/propionyl-CoA carboxylase carboxyl transferase subunit [EC:6.4.1.2 6.4.1.3 2.1.3.15],ATP + Acetyl-CoA + HCO3- <=> ADP + Orthophosphate + Malonyl-CoA,Bidirectional,6.4.1.2,K18472,None,R00742,accD6,accD6
acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3],ATP + Acetyl-CoA + HCO3- <=> ADP + Orthophosphate + Malonyl-CoA,Bidirectional,6.4.1.2,K18603,None,R00742,K18603,K18603
acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3 2.1.3.15],ATP + Acetyl-CoA + HCO3- <=> ADP + Orthophosphate + Malonyl-CoA,Bidirectional,6.4.1.2,K18604,None,R00742,K18604,K18604
biotin carboxyl carrier protein,ATP + Acetyl-CoA + HCO3- <=> ADP + Orthophosphate + Malonyl-CoA,Bidirectional,6.4.1.2,K18605,None,R00742,K18605,K18605
acetyl-CoA/propionyl-CoA carboxylase carboxyl transferase subunit [EC:6.4.1.2 6.4.1.3 2.1.3.15],ATP + Acetyl-CoA + HCO3- <=> ADP + Orthophosphate + Malonyl-CoA,Bidirectional,6.4.1.2,K19312,None,R00742,pccB,pccB
"acetyl-CoA/propionyl-CoA carboxylase, PccX subunit [EC:6.4.1.2 6.4.1.3]",ATP + Acetyl-CoA + HCO3- <=> ADP + Orthophosphate + Malonyl-CoA,Bidirectional,6.4.1.2,K22568,None,R00742,pccX,pccX
alcohol dehydrogenase (NADP+) [EC:1.1.1.2],Ethanol + NADP+ <=> Acetaldehyde + NADPH + H+,Bidirectional,"1.1.1.2, 1.1.1.71",K00002,None,R00746,AKR1A1,AKR1A1
alcohol/geraniol dehydrogenase (NADP+) [EC:1.1.1.2 1.1.1.183],Ethanol + NADP+ <=> Acetaldehyde + NADPH + H+,Bidirectional,"1.1.1.2, 1.1.1.71",K12957,None,R00746,ahr,ahr
alcohol dehydrogenase (NADP+) [EC:1.1.1.2],Ethanol + NADP+ <=> Acetaldehyde + NADPH + H+,Bidirectional,"1.1.1.2, 1.1.1.71",K13979,None,R00746,yahK,yahK
alcohol dehydrogenase [EC:1.1.1.1],Ethanol + NAD+ <=> Acetaldehyde + NADH + H+,Bidirectional,"1.1.1.1, 1.1.1.71",K00001,None,R00754,E1.1.1.1,E1.1.1.1
S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1],Ethanol + NAD+ <=> Acetaldehyde + NADH + H+,Bidirectional,"1.1.1.1, 1.1.1.71",K00121,None,R00754,frmA,frmA
alcohol dehydrogenase,Ethanol + NAD+ <=> Acetaldehyde + NADH + H+,Bidirectional,"1.1.1.1, 1.1.1.71",K04022,None,R00754,eutG,eutG
acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1],Ethanol + NAD+ <=> Acetaldehyde + NADH + H+,Bidirectional,"1.1.1.1, 1.1.1.71",K04072,None,R00754,adhE,adhE
alcohol dehydrogenase 1/7 [EC:1.1.1.1],Ethanol + NAD+ <=> Acetaldehyde + NADH + H+,Bidirectional,"1.1.1.1, 1.1.1.71",K13951,None,R00754,ADH1_7,ADH1_7
alcohol dehydrogenase 6 [EC:1.1.1.1],Ethanol + NAD+ <=> Acetaldehyde + NADH + H+,Bidirectional,"1.1.1.1, 1.1.1.71",K13952,None,R00754,ADH6,ADH6
"alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]",Ethanol + NAD+ <=> Acetaldehyde + NADH + H+,Bidirectional,"1.1.1.1, 1.1.1.71",K13953,None,R00754,adhP,adhP
alcohol dehydrogenase [EC:1.1.1.1],Ethanol + NAD+ <=> Acetaldehyde + NADH + H+,Bidirectional,"1.1.1.1, 1.1.1.71",K13954,None,R00754,yiaY,yiaY
alcohol dehydrogenase 4 [EC:1.1.1.1],Ethanol + NAD+ <=> Acetaldehyde + NADH + H+,Bidirectional,"1.1.1.1, 1.1.1.71",K13980,None,R00754,ADH4,ADH4
alcohol dehydrogenase class-P [EC:1.1.1.1],Ethanol + NAD+ <=> Acetaldehyde + NADH + H+,Bidirectional,"1.1.1.1, 1.1.1.71",K18857,None,R00754,ADH1,ADH1
propionate CoA-transferase [EC:2.8.3.1],Acetyl-CoA + Propanoate <=> Acetate + Propanoyl-CoA,Bidirectional,2.8.3.1,K01026,None,R00928,pct,pct
fumarate hydratase D [EC:4.2.1.2],(S)-Malate <=> Fumarate + H2O,Bidirectional,4.2.1.2,K01675,None,R01082,fumD,fumD
"fumarate hydratase, class I [EC:4.2.1.2]",(S)-Malate <=> Fumarate + H2O,Bidirectional,4.2.1.2,K01676,None,R01082,E4.2.1.2A,E4.2.1.2A
"fumarate hydratase subunit alpha [EC:4.2.1.2], fumarate hydratase subunit beta [EC:4.2.1.2]",(S)-Malate <=> Fumarate + H2O,Bidirectional,4.2.1.2,"K01677, K01678",None,R01082,"E4.2.1.2AA, E4.2.1.2AB","E4.2.1.2AA, E4.2.1.2AB"
"fumarate hydratase, class II [EC:4.2.1.2]",(S)-Malate <=> Fumarate + H2O,Bidirectional,4.2.1.2,K01679,None,R01082,E4.2.1.2B,E4.2.1.2B
fumarate hydratase E [EC:4.2.1.2],(S)-Malate <=> Fumarate + H2O,Bidirectional,4.2.1.2,K01774,None,R01082,fumE,fumE
"2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11], 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]",2 Reduced ferredoxin + Acetyl-CoA + CO2 + 2 H+ <=> 2 Oxidized ferredoxin + Pyruvate + CoA,Bidirectional,"1.2.7.1, 1.2.7.11","K00174, K00175",None,R01196,"korA, korB","korA, korB"
2-isopropylmalate synthase [EC:2.3.3.13],alpha-Isopropylmalate + CoA <=> Acetyl-CoA + 3-Methyl-2-oxobutanoic acid + H2O,Bidirectional,2.3.3.13,K01649,None,R01213,leuA,leuA
malate dehydrogenase (quinone) [EC:1.1.5.4],(S)-Malate + FAD <=> Oxaloacetate + FADH2,Bidirectional,1.1.5.4,K00116,None,R01257,mqo,mqo
lactaldehyde dehydrogenase / glycolaldehyde dehydrogenase [EC:1.2.1.22 1.2.1.21],(S)-Lactaldehyde + NAD+ + H2O <=> (S)-Lactate + NADH + H+,Bidirectional,1.2.1.22,K07248,None,R01446,aldA,aldA
lactaldehyde dehydrogenase [EC:1.2.1.22],(S)-Lactaldehyde + NAD+ + H2O <=> (S)-Lactate + NADH + H+,Bidirectional,1.2.1.22,K19266,None,R01446,E1.2.1.22,E1.2.1.22
lactate racemase [EC:5.1.2.1],(S)-Lactate <=> (R)-Lactate,Bidirectional,5.1.2.1,K22373,None,R01450,larA,larA
hydroxyacylglutathione hydrolase [EC:3.1.2.6],(R)-S-Lactoylglutathione + H2O <=> Glutathione + (R)-Lactate,Bidirectional,3.1.2.6,K01069,None,R01736,gloB,gloB
